"id_ciudad","id_region","ciudad","origen","destino","_tx"
2467,13,EL MEMBRILLO,0,1,1
2469,13,EL CANELO,0,1,1
2471,13,CULIPRAN,0,1,1
2473,13,CHOCALAN,0,1,1
2474,13,CHICUREO,1,1,1
2476,13,BOLLENAR,0,1,1
2477,13,ALTO JAHUEL,0,1,1
2478,6,VILLA ALHUE,0,1,1
2480,5,RINCONADA DE SILVA,0,1,1
2481,5,RINCONADA DE GUZMAN,0,1,1
2482,5,MONTENEGRO,0,1,1
2483,5,MANDINGA,0,1,1
2484,5,GUARDIA VIEJA,0,1,1
2485,5,PUNTA DE TRALCA,0,1,1
2486,5,MATANZAS,0,1,1
2487,5,LEYDA,0,1,1
2488,5,LAGUNILLAS,0,1,1
2489,8,ZEMITA,0,1,1
2490,8,CACHAPOAL CHILLAN,0,1,1
2492,5,QUELON,0,1,1
2493,5,MINCHA,0,1,1
2494,4,CAIMANES,0,1,1
2495,5,LAS DICHAS,0,1,1
2496,5,HUINTIL,0,1,1
2497,7,SAN PEDRO DE ALCANTARA,0,1,1
2499,7,NIRIVILO,0,1,1
2500,7,BOBADILLA,0,1,1
2501,7,GUALLECO,0,1,1
2504,7,CULENAR,0,1,1
2505,7,VILLA PRAT,0,1,1
2506,8,EL CARMEN RENGO,0,1,1
2508,8,LOS HORCONES,0,1,1
2509,8,LAS TRANCAS,0,1,1
2510,8,PUNTA DE PARRA,0,1,1
2511,8,COLIUMO,0,1,1
2512,8,PINGUERAL,0,1,1
2513,8,SAN FABIAN DE ALICO,0,1,1
2514,5,EL SAUCE,0,1,1
2515,3,BAHIA INGLESA,0,1,1
2516,6,OLIVAR BAJO,0,1,1
2517,6,PUENTE NEGRO,0,1,1
2518,6,LOS LINGUES,0,1,1
2519,10,PUELO,0,1,1
2520,9,MALALCAHUELLO,0,1,1
2521,9,PUERTO DOMINGUEZ,0,1,1
2522,9,RUCA RAQUI (SAAVEDRA),0,1,1
2523,11,GUADAL,0,1,1
2524,11,VILLA ORTEGA,0,1,1
2525,11,VILLA AMENGUAL,0,1,1
2526,11,NIREHUAO,0,1,1
2528,11,VALLE SIMPSON,0,1,1
2530,11,BAHIA MURTA,0,1,1
2531,11,CALETA ANDRADE,0,1,1
2534,10,TUBUL,0,1,1
2535,10,PUNTA LAVAPIE,0,1,1
2536,4,CHILLEPIN,0,1,1
2537,4,CUNCUMEN,0,1,1
2538,4,PALQUIAL,0,1,1
2539,4,LA JARILLA,0,1,1
2540,14,QUILCHE,0,1,1
2541,14,SECTOR LA PENA,0,1,1
2542,14,PARCELA EL CARMEN,0,1,1
2543,14,HUELLAHUE,0,1,1
2544,14,RAYENCURA,0,1,1
2545,10,MECHUQUE,0,1,1
2546,10,PIEDRA AZUL,0,1,1
2547,10,QUILLAIPE,0,1,1
2548,10,METRI,0,1,1
2549,10,LENCA,0,1,1
2550,10,CHAICA,0,1,1
2551,10,LA ARENA PTO MONTT,0,1,1
2552,9,VILLA BOLDO,0,1,1
2553,9,PORMA,0,1,1
2554,9,CHOROICO,0,1,1
2555,9,COLICO,0,1,1
2556,9,SAN PATRICIO,0,1,1
2557,9,CURACALCO,0,1,1
2558,9,LAS HORTENCIAS,0,1,1
2559,8,ISLA SANTA MARIA,0,1,1
2560,9,BARROS ARANA,0,1,1
2561,9,COLONIA MENDOZA,0,1,1
2562,9,LOS BOLDOS,0,1,1
2563,9,RADAL,0,1,1
2564,10,PEULLA,0,1,1
2565,5,TABOLANGO,0,1,1
